Index;Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
1;40;0.0218;0.0;6;21;1600;0;1295;0;305;1
2;40;0.0218;0.0;6;27;1600;0;1479;0;121;1
3;40;0.0218;0.0;6;33;1600;0;1543;0;57;1
4;40;0.0218;0.0;6;39;1600;0;1569;0;31;1
5;40;0.0218;0.0;6;45;1600;0;1582;0;18;1
6;40;0.0218;0.0;6;51;1600;0;1588;0;12;1
7;40;0.0218;0.0;6;57;1600;0;1594;0;6;1
8;40;0.0218;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0218;0.0;6;69;1600;0;1592;0;8;1
0;40;0.0219;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0219;0.0;6;21;1600;0;1319;0;281;1
2;40;0.0219;0.0;6;27;1600;0;1502;0;98;1
3;40;0.0219;0.0;6;33;1600;0;1541;0;59;1
4;40;0.0219;0.0;6;39;1600;0;1559;0;41;1
5;40;0.0219;0.0;6;45;1600;0;1577;0;23;1
6;40;0.0219;0.0;6;51;1600;0;1588;0;12;1
7;40;0.0219;0.0;6;57;1600;0;1588;0;12;1
8;40;0.0219;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0219;0.0;6;69;1600;0;1598;0;2;1
0;40;0.022;0.0;6;15;1600;0;3;0;1597;0
1;40;0.022;0.0;6;21;1600;0;1274;0;326;1
2;40;0.022;0.0;6;27;1600;0;1474;0;126;1
3;40;0.022;0.0;6;33;1600;0;1546;0;54;1
4;40;0.022;0.0;6;39;1600;0;1569;0;31;1
5;40;0.022;0.0;6;45;1600;0;1579;0;21;1
6;40;0.022;0.0;6;51;1600;0;1584;0;16;1
7;40;0.022;0.0;6;57;1600;0;1595;0;5;1
8;40;0.022;0.0;6;63;1600;0;1598;0;2;1
9;40;0.022;0.0;6;69;1600;0;1596;0;4;1
0;40;0.0221;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0221;0.0;6;21;1600;0;1252;0;348;1
2;40;0.0221;0.0;6;27;1600;0;1485;0;115;1
3;40;0.0221;0.0;6;33;1600;0;1536;0;64;1
4;40;0.0221;0.0;6;39;1600;0;1567;0;33;1
5;40;0.0221;0.0;6;45;1600;0;1582;0;18;1
6;40;0.0221;0.0;6;51;1600;0;1590;0;10;1
7;40;0.0221;0.0;6;57;1600;0;1588;0;12;1
8;40;0.0221;0.0;6;63;1600;0;1594;0;6;1
9;40;0.0221;0.0;6;69;1600;0;1595;0;5;1
0;40;0.0222;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0222;0.0;6;21;1600;0;1269;0;331;1
2;40;0.0222;0.0;6;27;1600;0;1492;0;108;1
3;40;0.0222;0.0;6;33;1600;0;1517;0;83;1
4;40;0.0222;0.0;6;39;1600;0;1557;0;43;1
5;40;0.0222;0.0;6;45;1600;0;1573;0;27;1
6;40;0.0222;0.0;6;51;1600;0;1592;0;8;1
7;40;0.0222;0.0;6;57;1600;0;1593;0;7;1
8;40;0.0222;0.0;6;63;1600;0;1598;0;2;1
9;40;0.0222;0.0;6;69;1600;0;1590;0;10;1
0;40;0.0223;0.0;6;15;1600;0;3;0;1597;0
1;40;0.0223;0.0;6;21;1600;0;1373;0;227;1
