Size;Sick;Death;mindays;maxSickDays;Total;Dead;Immune;Infected;Healthy;Epidemic
40;0.07;0.05;6;15;1600;746;838;0;16;1
40;0.07;0.06;6;15;1600;833;732;0;35;1
40;0.07;0.07;6;15;1600;894;660;0;46;1
40;0.07;0.08;6;15;1600;977;581;0;42;1
40;0.07;0.09;6;15;1600;1010;512;0;78;1
40;0.07;0.1;6;15;1600;1053;467;0;80;1
40;0.07;0.11;6;15;1600;1105;360;0;135;1
40;0.07;0.12;6;15;1600;1105;339;0;156;1
40;0.07;0.13;6;15;1600;910;243;0;447;1
40;0.07;0.14;6;15;1600;1157;239;0;204;1
40;0.07;0.15;6;15;1600;1110;183;0;307;1
40;0.07;0.16;6;15;1600;767;126;0;707;1
40;0.07;0.17;6;15;1600;744;109;0;747;1
40;0.07;0.18;6;15;1600;978;115;0;507;1
40;0.07;0.19;6;15;1600;628;73;0;899;0
40;0.07;0.2;6;15;1600;830;85;0;685;1
40;0.07;0.21;6;15;1600;548;39;0;1013;0
40;0.07;0.22;6;15;1600;276;18;0;1306;0
40;0.07;0.23;6;15;1600;355;26;0;1219;0
40;0.07;0.24;6;15;1600;388;26;0;1186;0
40;0.07;0.25;6;15;1600;127;6;0;1467;0
40;0.07;0.26;6;15;1600;173;8;0;1419;0
40;0.07;0.27;6;15;1600;51;2;0;1547;0
40;0.07;0.28;6;15;1600;11;0;0;1589;0
40;0.07;0.29;6;15;1600;11;0;0;1589;0
40;0.07;0.3;6;15;1600;11;0;0;1589;0
40;0.07;0.31;6;15;1600;11;0;0;1589;0
40;0.07;0.32;6;15;1600;11;0;0;1589;0
40;0.07;0.33;6;15;1600;11;0;0;1589;0
40;0.07;0.34;6;15;1600;11;0;0;1589;0
40;0.07;0.35;6;15;1600;11;0;0;1589;0
40;0.07;0.36;6;15;1600;18;1;0;1581;0
40;0.07;0.37;6;15;1600;18;1;0;1581;0
40;0.07;0.38;6;15;1600;10;0;0;1590;0
40;0.07;0.39;6;15;1600;10;0;0;1590;0
40;0.07;0.4;6;15;1600;10;0;0;1590;0
40;0.07;0.41;6;15;1600;10;0;0;1590;0
40;0.07;0.42;6;15;1600;10;0;0;1590;0
40;0.07;0.43;6;15;1600;10;0;0;1590;0
40;0.07;0.44;6;15;1600;10;0;0;1590;0
40;0.07;0.45;6;15;1600;10;0;0;1590;0
40;0.07;0.46;6;15;1600;10;0;0;1590;0
40;0.07;0.47;6;15;1600;10;0;0;1590;0
40;0.07;0.48;6;15;1600;1;0;0;1599;0
40;0.07;0.49;6;15;1600;1;0;0;1599;0
40;0.08;0.01;6;15;1600;156;1437;0;7;1
40;0.08;0.02;6;15;1600;339;1256;0;5;1
40;0.08;0.03;6;15;1600;491;1099;0;10;1
40;0.08;0.04;6;15;1600;614;981;0;5;1
40;0.08;0.05;6;15;1600;709;885;0;6;1
40;0.08;0.06;6;15;1600;838;741;0;21;1
40;0.08;0.07;6;15;1600;909;649;0;42;1
40;0.08;0.08;6;15;1600;980;577;0;43;1
40;0.08;0.09;6;15;1600;1031;527;0;42;1
40;0.08;0.1;6;15;1600;1123;432;0;45;1
40;0.08;0.11;6;15;1600;1163;375;0;62;1
40;0.08;0.12;6;15;1600;1159;348;0;93;1
40;0.08;0.13;6;15;1600;1143;309;0;148;1
40;0.08;0.14;6;15;1600;1187;254;0;159;1
40;0.08;0.15;6;15;1600;1213;229;0;158;1
40;0.08;0.16;6;15;1600;1193;199;0;208;1
40;0.08;0.17;6;15;1600;1156;153;0;291;1
40;0.08;0.18;6;15;1600;979;102;0;519;1
40;0.08;0.19;6;15;1600;998;103;0;499;1
40;0.08;0.2;6;15;1600;1172;109;0;319;1
40;0.08;0.21;6;15;1600;798;54;0;748;1
40;0.08;0.22;6;15;1600;598;44;0;958;0
40;0.08;0.23;6;15;1600;615;41;0;944;0
40;0.08;0.24;6;15;1600;483;25;0;1092;0
40;0.08;0.25;6;15;1600;549;17;0;1034;0
40;0.08;0.26;6;15;1600;16;1;0;1583;0
40;0.08;0.27;6;15;1600;16;1;0;1583;0
40;0.08;0.28;6;15;1600;11;0;0;1589;0
40;0.08;0.29;6;15;1600;11;0;0;1589;0
40;0.08;0.3;6;15;1600;11;0;0;1589;0
40;0.08;0.31;6;15;1600;11;0;0;1589;0
40;0.08;0.32;6;15;1600;11;0;0;1589;0
40;0.08;0.33;6;15;1600;11;0;0;1589;0
40;0.08;0.34;6;15;1600;11;0;0;1589;0
40;0.08;0.35;6;15;1600;11;0;0;1589;0
40;0.08;0.36;6;15;1600;21;1;0;1578;0
40;0.08;0.37;6;15;1600;21;1;0;1578;0
40;0.08;0.38;6;15;1600;10;0;0;1590;0
40;0.08;0.39;6;15;1600;10;0;0;1590;0
40;0.08;0.4;6;15;1600;10;0;0;1590;0
40;0.08;0.41;6;15;1600;10;0;0;1590;0
40;0.08;0.42;6;15;1600;10;0;0;1590;0
40;0.08;0.43;6;15;1600;10;0;0;1590;0
40;0.08;0.44;6;15;1600;10;0;0;1590;0
40;0.08;0.45;6;15;1600;10;0;0;1590;0
40;0.08;0.46;6;15;1600;10;0;0;1590;0
40;0.08;0.47;6;15;1600;10;0;0;1590;0
40;0.08;0.48;6;15;1600;1;0;0;1599;0
40;0.08;0.49;6;15;1600;1;0;0;1599;0
40;0.09;0.01;6;15;1600;178;1421;0;1;1
40;0.09;0.02;6;15;1600;348;1250;0;2;1
40;0.09;0.03;6;15;1600;498;1100;0;2;1
40;0.09;0.04;6;15;1600;604;991;0;5;1
40;0.09;0.05;6;15;1600;729;863;0;8;1
40;0.09;0.06;6;15;1600;817;771;0;12;1
40;0.09;0.07;6;15;1600;933;659;0;8;1
40;0.09;0.08;6;15;1600;987;594;0;19;1
40;0.09;0.09;6;15;1600;1046;541;0;13;1
40;0.09;0.1;6;15;1600;1120;459;0;21;1
40;0.09;0.11;6;15;1600;1167;395;0;38;1
40;0.09;0.12;6;15;1600;1168;360;0;72;1
40;0.09;0.13;6;15;1600;1179;338;0;83;1
40;0.09;0.14;6;15;1600;1226;252;0;122;1
40;0.09;0.15;6;15;1600;1262;257;0;81;1
40;0.09;0.16;6;15;1600;1304;210;0;86;1
40;0.09;0.17;6;15;1600;1216;168;0;216;1
40;0.09;0.18;6;15;1600;1179;139;0;282;1
40;0.09;0.19;6;15;1600;5;0;0;1595;0
40;0.09;0.2;6;15;1600;5;0;0;1595;0
40;0.09;0.21;6;15;1600;5;0;0;1595;0
40;0.09;0.22;6;15;1600;5;0;0;1595;0
40;0.09;0.23;6;15;1600;5;0;0;1595;0
40;0.09;0.24;6;15;1600;5;0;0;1595;0
40;0.09;0.25;6;15;1600;5;0;0;1595;0
40;0.09;0.26;6;15;1600;5;0;0;1595;0
40;0.09;0.27;6;15;1600;5;0;0;1595;0
40;0.09;0.28;6;15;1600;5;0;0;1595;0
40;0.09;0.29;6;15;1600;5;0;0;1595;0
40;0.09;0.3;6;15;1600;5;0;0;1595;0
40;0.09;0.31;6;15;1600;5;0;0;1595;0
40;0.09;0.32;6;15;1600;5;0;0;1595;0
40;0.09;0.33;6;15;1600;5;0;0;1595;0
40;0.09;0.34;6;15;1600;5;0;0;1595;0
40;0.09;0.35;6;15;1600;5;0;0;1595;0
40;0.09;0.36;6;15;1600;5;0;0;1595;0
40;0.09;0.37;6;15;1600;5;0;0;1595;0
40;0.09;0.38;6;15;1600;5;0;0;1595;0
40;0.09;0.39;6;15;1600;5;0;0;1595;0
40;0.09;0.4;6;15;1600;5;0;0;1595;0
40;0.09;0.41;6;15;1600;5;0;0;1595;0
40;0.09;0.42;6;15;1600;5;0;0;1595;0
40;0.09;0.43;6;15;1600;5;0;0;1595;0
40;0.09;0.44;6;15;1600;5;0;0;1595;0
40;0.09;0.45;6;15;1600;5;0;0;1595;0
40;0.09;0.46;6;15;1600;5;0;0;1595;0
40;0.09;0.47;6;15;1600;5;0;0;1595;0
40;0.09;0.48;6;15;1600;1;0;0;1599;0
40;0.09;0.49;6;15;1600;1;0;0;1599;0
40;0.1;0.01;6;15;1600;190;1410;0;0;1
40;0.1;0.02;6;15;1600;349;1249;0;2;1
40;0.1;0.03;6;15;1600;512;1085;0;3;1
40;0.1;0.04;6;15;1600;640;958;0;2;1
40;0.1;0.05;6;15;1600;742;852;0;6;1
40;0.1;0.06;6;15;1600;831;752;0;17;1
40;0.1;0.07;6;15;1600;959;636;0;5;1
40;0.1;0.08;6;15;1600;981;609;0;10;1
40;0.1;0.09;6;15;1600;1057;528;0;15;1
40;0.1;0.1;6;15;1600;1119;463;0;18;1
40;0.1;0.11;6;15;1600;1160;414;0;26;1
40;0.1;0.12;6;15;1600;1206;375;0;19;1
40;0.1;0.13;6;15;1600;1239;326;0;35;1
40;0.1;0.14;6;15;1600;1281;255;0;64;1
40;0.1;0.15;6;15;1600;1291;236;0;73;1
40;0.1;0.16;6;15;1600;1286;224;0;90;1
40;0.1;0.17;6;15;1600;1333;175;0;92;1
40;0.1;0.18;6;15;1600;1297;163;0;140;1
40;0.1;0.19;6;15;1600;5;0;0;1595;0
40;0.1;0.2;6;15;1600;5;0;0;1595;0
40;0.1;0.21;6;15;1600;5;0;0;1595;0
40;0.1;0.22;6;15;1600;5;0;0;1595;0
40;0.1;0.23;6;15;1600;5;0;0;1595;0
40;0.1;0.24;6;15;1600;5;0;0;1595;0
40;0.1;0.25;6;15;1600;5;0;0;1595;0
40;0.1;0.26;6;15;1600;5;0;0;1595;0
40;0.1;0.27;6;15;1600;5;0;0;1595;0
40;0.1;0.28;6;15;1600;5;0;0;1595;0
40;0.1;0.29;6;15;1600;5;0;0;1595;0
40;0.1;0.3;6;15;1600;5;0;0;1595;0
40;0.1;0.31;6;15;1600;5;0;0;1595;0
40;0.1;0.32;6;15;1600;5;0;0;1595;0
40;0.1;0.33;6;15;1600;5;0;0;1595;0
40;0.1;0.34;6;15;1600;5;0;0;1595;0
40;0.1;0.35;6;15;1600;5;0;0;1595;0
40;0.1;0.36;6;15;1600;5;0;0;1595;0
40;0.1;0.37;6;15;1600;5;0;0;1595;0
40;0.1;0.38;6;15;1600;5;0;0;1595;0
40;0.1;0.39;6;15;1600;5;0;0;1595;0
40;0.1;0.4;6;15;1600;5;0;0;1595;0
40;0.1;0.41;6;15;1600;5;0;0;1595;0
40;0.1;0.42;6;15;1600;5;0;0;1595;0
40;0.1;0.43;6;15;1600;5;0;0;1595;0
40;0.1;0.44;6;15;1600;5;0;0;1595;0
40;0.1;0.45;6;15;1600;5;0;0;1595;0
40;0.1;0.46;6;15;1600;5;0;0;1595;0
40;0.1;0.47;6;15;1600;5;0;0;1595;0
40;0.1;0.48;6;15;1600;1;0;0;1599;0
40;0.1;0.49;6;15;1600;1;0;0;1599;0
40;0.11;0.01;6;15;1600;182;1418;0;0;1
40;0.11;0.02;6;15;1600;355;1243;0;2;1
40;0.11;0.03;6;15;1600;524;1075;0;1;1
40;0.11;0.04;6;15;1600;612;987;0;1;1
